wavenumber_cm1,absorbance
553.0000,0.084572
554.0000,0.083816
554.0000,0.084060
555.0000,0.083084
555.0000,0.082106
556.0000,0.083328
556.0000,0.083301
557.0000,0.084224
557.0000,0.084848
558.0000,0.088081
558.0000,0.088250
559.0000,0.092651
559.0000,0.096033
560.0000,0.102009
560.0000,0.107230
561.0000,0.118211
561.0000,0.124734
562.0000,0.136203
562.0000,0.146275
563.0000,0.157742
563.0000,0.164268
564.0000,0.174278
564.0000,0.179753
565.0000,0.185959
565.0000,0.191491
566.0000,0.198428
566.0000,0.202217
566.0000,0.211517
567.0000,0.217594
567.0000,0.225709
568.0000,0.232228
568.0000,0.243062
569.0000,0.255687
569.0000,0.270885
570.0000,0.288354
570.0000,0.306368
571.0000,0.323182
571.0000,0.339514
572.0000,0.350423
572.0000,0.360103
573.0000,0.366325
573.0000,0.372050
574.0000,0.377396
574.0000,0.382260
575.0000,0.386708
575.0000,0.391183
576.0000,0.393865
576.0000,0.397430
577.0000,0.398095
577.0000,0.400082
578.0000,0.396934
578.0000,0.391437
579.0000,0.389358
579.0000,0.382569
580.0000,0.377646
580.0000,0.368027
580.0000,0.360824
581.0000,0.350041
581.0000,0.340815
582.0000,0.328431
582.0000,0.316760
583.0000,0.302397
583.0000,0.292784
584.0000,0.275826
584.0000,0.265144
585.0000,0.247678
585.0000,0.236045
586.0000,0.219404
586.0000,0.210080
587.0000,0.196979
587.0000,0.191158
588.0000,0.181956
588.0000,0.178385
589.0000,0.171743
589.0000,0.169772
590.0000,0.162546
590.0000,0.159709
591.0000,0.154244
591.0000,0.151382
592.0000,0.147271
592.0000,0.144679
593.0000,0.141250
593.0000,0.138768
593.0000,0.136554
594.0000,0.133937
594.0000,0.130239
595.0000,0.126279
595.0000,0.122855
596.0000,0.120266
596.0000,0.117143
597.0000,0.112109
597.0000,0.107908
598.0000,0.103172
598.0000,0.098979
599.0000,0.093951
599.0000,0.089866
600.0000,0.085081
600.0000,0.083551
601.0000,0.082666
601.0000,0.081484
602.0000,0.081242
602.0000,0.083175
603.0000,0.081968
603.0000,0.082959
604.0000,0.082770
604.0000,0.081691
605.0000,0.077157
605.0000,0.066423
606.0000,0.058302
606.0000,0.047381
607.0000,0.034572
607.0000,0.024867
607.0000,0.012387
608.0000,0.009593
608.0000,0.006654
609.0000,0.011332
609.0000,0.016325
610.0000,0.022763
610.0000,0.034433
611.0000,0.043761
611.0000,0.052027
612.0000,0.060051
612.0000,0.063112
613.0000,0.067851
613.0000,0.068151
614.0000,0.071206
614.0000,0.071421
615.0000,0.071663
615.0000,0.069732
616.0000,0.070939
616.0000,0.070912
617.0000,0.071825
617.0000,0.073408
618.0000,0.075393
618.0000,0.077513
619.0000,0.079499
619.0000,0.081082
620.0000,0.081994
620.0000,0.081968
620.0000,0.083175
621.0000,0.083175
621.0000,0.082934
622.0000,0.081753
622.0000,0.079901
623.0000,0.076681
623.0000,0.074535
624.0000,0.073461
624.0000,0.073461
625.0000,0.074535
625.0000,0.075714
626.0000,0.080143
626.0000,0.081968
627.0000,0.084062
627.0000,0.085888
628.0000,0.087877
628.0000,0.089758
629.0000,0.090563
629.0000,0.090295
630.0000,0.088952
630.0000,0.086534
631.0000,0.085486
631.0000,0.082666
632.0000,0.081484
632.0000,0.081242
633.0000,0.081242
633.0000,0.081484
634.0000,0.082666
634.0000,0.084519
634.0000,0.087743
635.0000,0.089892
635.0000,0.090966
636.0000,0.090966
636.0000,0.089892
637.0000,0.087743
637.0000,0.084519
638.0000,0.082666
638.0000,0.081484
639.0000,0.081242
639.0000,0.082209
640.0000,0.082209
640.0000,0.082209
641.0000,0.082209
641.0000,0.083175
642.0000,0.082934
642.0000,0.082718
643.0000,0.079660
643.0000,0.077433
644.0000,0.076054
644.0000,0.071738
645.0000,0.067481
645.0000,0.060020
646.0000,0.051925
646.0000,0.042632
647.0000,0.030605
647.0000,0.020586
647.0000,0.009538
648.0000,0.007251
648.0000,0.007007
649.0000,0.010071
649.0000,0.017122
650.0000,0.025204
650.0000,0.035167
651.0000,0.043499
651.0000,0.049820
652.0000,0.056195
652.0000,0.058404
653.0000,0.059559
653.0000,0.057193
654.0000,0.055388
654.0000,0.054123
655.0000,0.054338
655.0000,0.056979
656.0000,0.060534
656.0000,0.065679
657.0000,0.073795
657.0000,0.081351
658.0000,0.086994
658.0000,0.094016
659.0000,0.100099
659.0000,0.106345
660.0000,0.109726
660.0000,0.113811
660.0000,0.115572
661.0000,0.118580
661.0000,0.122263
662.0000,0.127034
662.0000,0.131809
663.0000,0.137967
663.0000,0.142741
664.0000,0.147518
664.0000,0.151213
665.0000,0.155207
665.0000,0.157709
666.0000,0.160373
666.0000,0.160699
667.0000,0.162820
667.0000,0.165213
668.0000,0.166355
668.0000,0.167908
669.0000,0.171529
669.0000,0.175695
670.0000,0.179861
670.0000,0.183484
671.0000,0.186017
671.0000,0.185936
672.0000,0.187380
672.0000,0.188825
673.0000,0.189726
673.0000,0.192018
674.0000,0.194445
674.0000,0.196736
674.0000,0.198618
675.0000,0.198854
675.0000,0.199341
676.0000,0.199537
676.0000,0.201385
677.0000,0.202651
677.0000,0.205280
678.0000,0.208730
678.0000,0.212462
679.0000,0.214971
679.0000,0.217883
680.0000,0.220389
680.0000,0.223157
681.0000,0.226846
681.0000,0.230647
682.0000,0.233755
682.0000,0.237844
683.0000,0.241399
683.0000,0.243884
684.0000,0.244765
684.0000,0.246924
685.0000,0.246918
685.0000,0.244755
686.0000,0.243853
686.0000,0.241314
687.0000,0.238664
687.0000,0.233262
687.0000,0.230094
688.0000,0.224314
688.0000,0.220197
689.0000,0.216356
689.0000,0.212377
690.0000,0.207857
690.0000,0.204862
691.0000,0.198824
691.0000,0.195966
692.0000,0.189251
692.0000,0.186415
693.0000,0.178444
693.0000,0.174964
694.0000,0.174010
694.0000,0.174670
695.0000,0.174035
695.0000,0.175542
696.0000,0.176705
696.0000,0.179793
697.0000,0.181024
697.0000,0.184046
698.0000,0.183920
698.0000,0.187912
699.0000,0.193497
699.0000,0.196770
700.0000,0.200030
700.0000,0.203716
701.0000,0.209156
701.0000,0.212189
701.0000,0.216540
702.0000,0.221460
702.0000,0.223039
703.0000,0.225306
703.0000,0.226771
704.0000,0.226889
704.0000,0.227552
705.0000,0.228530
705.0000,0.229803
706.0000,0.228256
706.0000,0.227273
707.0000,0.226185
707.0000,0.223789
708.0000,0.221288
708.0000,0.217332
709.0000,0.214539
709.0000,0.213201
710.0000,0.213594
710.0000,0.213549
711.0000,0.214037
711.0000,0.216028
712.0000,0.216394
712.0000,0.218541
713.0000,0.217867
713.0000,0.214397
714.0000,0.212652
714.0000,0.211691
714.0000,0.211520
715.0000,0.213108
715.0000,0.214292
716.0000,0.215346
716.0000,0.215067
717.0000,0.213737
717.0000,0.211619
718.0000,0.207519
718.0000,0.204098
719.0000,0.199038
719.0000,0.197163
720.0000,0.198478
720.0000,0.200553
721.0000,0.203128
721.0000,0.208106
722.0000,0.212527
722.0000,0.218986
723.0000,0.223562
723.0000,0.226419
724.0000,0.225817
724.0000,0.227898
725.0000,0.230227
725.0000,0.232275
726.0000,0.233511
726.0000,0.235841
727.0000,0.239004
727.0000,0.240570
728.0000,0.240545
728.0000,0.239897
728.0000,0.237428
729.0000,0.234591
729.0000,0.230045
730.0000,0.222701
730.0000,0.213909
731.0000,0.205925
731.0000,0.198889
732.0000,0.189823
732.0000,0.182260
733.0000,0.174671
733.0000,0.169597
734.0000,0.165716
734.0000,0.161709
735.0000,0.154355
735.0000,0.149990
736.0000,0.145361
736.0000,0.140610
737.0000,0.133467
737.0000,0.127164
738.0000,0.118444
738.0000,0.112007
739.0000,0.106081
739.0000,0.100514
740.0000,0.095859
740.0000,0.094135
741.0000,0.090904
741.0000,0.088860
741.0000,0.086396
742.0000,0.084989
742.0000,0.082771
743.0000,0.080955
743.0000,0.079806
744.0000,0.079569
744.0000,0.081461
745.0000,0.081225
745.0000,0.079130
746.0000,0.077553
746.0000,0.076494
747.0000,0.075955
747.0000,0.075939
748.0000,0.076447
748.0000,0.077481
749.0000,0.079044
749.0000,0.082081
750.0000,0.082080
750.0000,0.079987
751.0000,0.078176
751.0000,0.075972
752.0000,0.073637
752.0000,0.071433
753.0000,0.069623
753.0000,0.068468
754.0000,0.068232
754.0000,0.069177
755.0000,0.069177
755.0000,0.070120
755.0000,0.069884
756.0000,0.068731
756.0000,0.066922
757.0000,0.064721
757.0000,0.062388
758.0000,0.060186
758.0000,0.058378
759.0000,0.057225
759.0000,0.056989
760.0000,0.058875
760.0000,0.058639
761.0000,0.057487
761.0000,0.055681
762.0000,0.053481
762.0000,0.051151
763.0000,0.048952
763.0000,0.046207
764.0000,0.045290
764.0000,0.046200
765.0000,0.048940
765.0000,0.050191
766.0000,0.052743
766.0000,0.056076
767.0000,0.060610
767.0000,0.063706
768.0000,0.065105
768.0000,0.064548
768.0000,0.065087
769.0000,0.063669
769.0000,0.060556
770.0000,0.056012
770.0000,0.052667
771.0000,0.050106
771.0000,0.048853
772.0000,0.047050
772.0000,0.045900
773.0000,0.045665
773.0000,0.046606
774.0000,0.046606
774.0000,0.046606
775.0000,0.047545
775.0000,0.047310
776.0000,0.046162
776.0000,0.044361
777.0000,0.042169
777.0000,0.039846
778.0000,0.037653
778.0000,0.035852
779.0000,0.034704
779.0000,0.033533
780.0000,0.034707
780.0000,0.035851
781.0000,0.037644
781.0000,0.039827
782.0000,0.043079
782.0000,0.044089
782.0000,0.045908
783.0000,0.046166
783.0000,0.044861
784.0000,0.041996
784.0000,0.039936
785.0000,0.038007
785.0000,0.036469
786.0000,0.035582
786.0000,0.035608
787.0000,0.034435
787.0000,0.035374
788.0000,0.035374
788.0000,0.035374
789.0000,0.035374
789.0000,0.035374
790.0000,0.035374
790.0000,0.035374
791.0000,0.035374
791.0000,0.035374
792.0000,0.035374
792.0000,0.035374
793.0000,0.035374
793.0000,0.035374
794.0000,0.035374
794.0000,0.035374
795.0000,0.035374
795.0000,0.035374
795.0000,0.035374
796.0000,0.035374
796.0000,0.035374
797.0000,0.035374
797.0000,0.035374
798.0000,0.035374
798.0000,0.035374
799.0000,0.035374
799.0000,0.036311
800.0000,0.035139
800.0000,0.035165
801.0000,0.034280
801.0000,0.033680
802.0000,0.030582
802.0000,0.028550
803.0000,0.025738
803.0000,0.022666
804.0000,0.019855
804.0000,0.017826
805.0000,0.014728
805.0000,0.014131
806.0000,0.013246
806.0000,0.013272
807.0000,0.012102
807.0000,0.013038
808.0000,0.013038
808.0000,0.013038
809.0000,0.013038
809.0000,0.013038
809.0000,0.013038
810.0000,0.013038
810.0000,0.013038
811.0000,0.013038
811.0000,0.013038
812.0000,0.012104
812.0000,0.012337
813.0000,0.013480
813.0000,0.015271
814.0000,0.017452
814.0000,0.019763
815.0000,0.021944
815.0000,0.024671
816.0000,0.025580
816.0000,0.024670
817.0000,0.021942
817.0000,0.019758
818.0000,0.017445
818.0000,0.015262
819.0000,0.013468
819.0000,0.012325
820.0000,0.012091
820.0000,0.013027
821.0000,0.013027
821.0000,0.013027
822.0000,0.013027
822.0000,0.013027
822.0000,0.013027
823.0000,0.013027
823.0000,0.013027
824.0000,0.013027
824.0000,0.013027
825.0000,0.013027
825.0000,0.013027
826.0000,0.013027
826.0000,0.013027
827.0000,0.013027
827.0000,0.013027
828.0000,0.013027
828.0000,0.013027
829.0000,0.013027
829.0000,0.013027
830.0000,0.013027
830.0000,0.013027
831.0000,0.013027
831.0000,0.013027
832.0000,0.013027
832.0000,0.013027
833.0000,0.013027
833.0000,0.013027
834.0000,0.013027
834.0000,0.013027
835.0000,0.013027
835.0000,0.013027
836.0000,0.013027
836.0000,0.013027
836.0000,0.013027
837.0000,0.013027
837.0000,0.013027
838.0000,0.013027
838.0000,0.013027
839.0000,0.013027
839.0000,0.013027
