wavenumber_cm1,absorbance
1147.7420,0.176440
1149.6710,0.156601
1151.6000,0.135385
1153.5289,0.112913
1155.4579,0.090380
1157.3869,0.068469
1159.3159,0.048341
1161.2449,0.031910
1163.1738,0.020849
1165.1028,0.011910
1167.0320,0.006405
1168.9610,0.005652
1170.8900,0.007846
1172.8189,0.009461
1174.7479,0.010831
1176.6769,0.012088
1178.6059,0.012025
1180.5349,0.011244
1182.4638,0.010637
1184.3928,0.010162
1186.3220,0.011526
1188.2510,0.014969
1190.1800,0.019412
1192.1089,0.023918
1194.0379,0.029378
1195.9669,0.035126
1197.8959,0.041455
1199.8249,0.048992
1201.7538,0.055874
1203.6828,0.063501
1205.6110,0.071289
1207.5400,0.077644
1209.4690,0.083070
1211.3979,0.087343
1213.3269,0.090883
1215.2559,0.093561
1217.1849,0.096164
1219.1139,0.096976
1221.0428,0.094186
1222.9718,0.090359
1224.9010,0.084573
1226.8300,0.077463
1228.7590,0.071546
1230.6879,0.067933
1232.6169,0.064830
1234.5459,0.060859
1236.4749,0.058625
1238.4039,0.056773
1240.3328,0.054222
1242.2618,0.052462
1244.1910,0.051014
1246.1200,0.050569
1248.0490,0.051408
1249.9779,0.053094
1251.9069,0.054251
1253.8359,0.055432
1255.7649,0.059773
1257.6939,0.066230
1259.6228,0.072346
1261.5518,0.077996
1263.4810,0.083641
1265.4100,0.088384
1267.3390,0.090943
1269.2679,0.091660
1271.1969,0.091249
1273.1259,0.091283
1275.0549,0.093384
1276.9839,0.096989
1278.9128,0.101349
1280.8418,0.106815
1282.7710,0.113149
1284.7000,0.118749
1286.6290,0.121587
1288.5579,0.121141
1290.4869,0.118375
1292.4159,0.114081
1294.3449,0.107812
1296.2739,0.100131
1298.2028,0.092917
1300.1318,0.086580
1302.0600,0.079982
1303.9890,0.072644
1305.9180,0.064139
1307.8469,0.054593
1309.7759,0.045377
1311.7049,0.037125
1313.6339,0.029460
1315.5629,0.023594
1317.4918,0.021354
1319.4208,0.022742
1321.3500,0.026963
1323.2790,0.033361
1325.2080,0.041770
1327.1369,0.050908
1329.0659,0.060050
1330.9949,0.068860
1332.9239,0.076783
1334.8529,0.084172
1336.7818,0.091378
1338.7108,0.097852
1340.6400,0.103167
1342.5690,0.107208
1344.4980,0.109935
1346.4269,0.110827
1348.3559,0.110455
1350.2849,0.109789
1352.2139,0.109589
1354.1429,0.110163
1356.0718,0.110840
1358.0008,0.111105
1359.9300,0.110560
1361.8590,0.109302
1363.7880,0.106970
1365.7169,0.103608
1367.6459,0.099737
1369.5749,0.095648
1371.5039,0.092142
1373.4329,0.089018
1375.3618,0.085912
1377.2908,0.082942
1379.2190,0.080143
1381.1480,0.077649
1383.0770,0.075145
1385.0059,0.072533
1386.9349,0.070046
1388.8639,0.068011
1390.7929,0.067315
1392.7219,0.068136
1394.6508,0.071075
1396.5798,0.077115
1398.5090,0.086634
1400.4380,0.100023
1402.3670,0.117534
1404.2959,0.139323
1406.2249,0.165579
1408.1539,0.195888
1410.0829,0.229718
1412.0119,0.265070
1413.9408,0.298840
1415.8698,0.328662
1417.7990,0.352455
1419.7280,0.369794
1421.6570,0.380589
1423.5859,0.385035
1425.5149,0.384899
1427.4439,0.382285
1429.3729,0.377103
1431.3019,0.367173
1433.2308,0.350587
1435.1598,0.327047
1437.0890,0.298197
1439.0180,0.267195
1440.9470,0.236485
1442.8759,0.208246
1444.8049,0.185153
1446.7339,0.169061
1448.6629,0.158814
1450.5919,0.152021
1452.5208,0.146496
1454.4498,0.140635
1456.3780,0.134303
1458.3070,0.126569
1460.2360,0.116678
1462.1649,0.104624
1464.0939,0.091182
1466.0229,0.077819
1467.9519,0.065483
1469.8809,0.054218
1471.8098,0.044534
1473.7388,0.036977
1475.6680,0.031295
1477.5970,0.026503
1479.5260,0.021993
1481.4549,0.017893
1483.3839,0.014353
1485.3129,0.011316
1487.2419,0.008645
1489.1709,0.006313
1491.0998,0.004788
1493.0288,0.003913
1494.9580,0.003041
1496.8870,0.002081
1498.8160,0.001538
1500.7449,0.001574
1502.6739,0.001780
1504.6029,0.001972
1506.5319,0.001961
1508.4609,0.002135
1510.3898,0.002726
1512.3188,0.003310
1514.2480,0.003912
1516.1770,0.004741
1518.1060,0.006032
1520.0349,0.007496
1521.9639,0.008808
1523.8929,0.009954
1525.8219,0.011077
1527.7509,0.012585
1529.6798,0.014625
1531.6088,0.017587
1533.5380,0.022309
1535.4670,0.028539
1537.3960,0.035969
1539.3249,0.044712
1541.2539,0.054602
1543.1829,0.065661
1545.1119,0.077649
1547.0409,0.089587
1548.9698,0.100757
1550.8988,0.111195
1552.8270,0.119623
1554.7560,0.125253
1556.6850,0.128325
1558.6139,0.129127
1560.5429,0.128630
1562.4719,0.126991
1564.4009,0.123487
1566.3299,0.118101
1568.2588,0.111050
1570.1878,0.101446
1572.1170,0.088869
1574.0460,0.074931
1575.9750,0.061052
1577.9039,0.048576
1579.8329,0.038896
1581.7619,0.031637
1583.6909,0.026145
1585.6199,0.022769
1587.5488,0.020826
1589.4778,0.019038
1591.4070,0.017345
1593.3360,0.015665
1595.2650,0.014341
1597.1939,0.013586
1599.1229,0.013494
1601.0519,0.013683
1602.9809,0.013715
1604.9099,0.013689
1606.8388,0.013527
1608.7678,0.013726
1610.6970,0.013950
1612.6260,0.014188
1614.5550,0.014788
1616.4839,0.015498
1618.4129,0.016583
1620.3419,0.017767
1622.2709,0.019075
1624.1999,0.019946
1626.1288,0.020231
1628.0578,0.021090
1629.9860,0.022209
1631.9150,0.023032
1633.8440,0.023552
1635.7729,0.024207
1637.7019,0.025525
1639.6309,0.027591
1641.5599,0.029639
1643.4889,0.030775
1645.4178,0.031508
1647.3468,0.032089
1649.2760,0.032330
