wavenumber_cm1,absorbance
1746.0000,0.015497
1750.0000,0.015290
1754.0000,0.014562
1758.0000,0.013420
1762.0000,0.011857
1766.0000,0.010155
1770.0000,0.008745
1774.0000,0.007846
1778.0000,0.007371
1782.0000,0.007176
1786.0000,0.007047
1790.0000,0.006825
1794.0000,0.006517
1798.0000,0.006009
1802.0000,0.005336
1806.0000,0.004624
1810.0000,0.004080
1814.0000,0.003821
1818.0000,0.003693
1822.0000,0.003623
1826.0000,0.003618
1830.0000,0.003717
1834.0000,0.003978
1838.0000,0.004408
1842.0000,0.005178
1846.0000,0.006240
1850.0000,0.007597
1854.0000,0.009114
1858.0000,0.010475
1862.0000,0.011520
1866.0000,0.012103
1870.0000,0.012135
1874.0000,0.011639
1878.0000,0.010797
1882.0000,0.009910
1886.0000,0.009186
1890.0000,0.008801
1894.0000,0.009043
1898.0000,0.009848
1902.0000,0.010886
1906.0000,0.011881
1910.0000,0.012429
1914.0000,0.012287
1918.0000,0.011458
1922.0000,0.010081
1926.0000,0.008336
1930.0000,0.006428
1934.0000,0.004814
1938.0000,0.003536
1942.0000,0.002506
1946.0000,0.001858
1950.0000,0.001466
1954.0000,0.001235
1958.0000,0.001050
1962.0000,0.000867
1966.0000,0.000642
1970.0000,0.000436
1974.0000,0.000429
1978.0000,0.000484
1982.0000,0.000612
1986.0000,0.001054
1990.0000,0.001727
1994.0000,0.002481
1998.0000,0.003179
2002.0000,0.003876
2006.0000,0.004721
2010.0000,0.005854
2014.0000,0.007181
2018.0000,0.008361
2022.0000,0.009404
2026.0000,0.010296
2030.0000,0.010745
2034.0000,0.010573
2038.0000,0.009617
2042.0000,0.008164
2046.0000,0.006548
2050.0000,0.005062
2054.0000,0.003758
2058.0000,0.002710
2062.0000,0.002189
2066.0000,0.002206
2070.0000,0.002546
2074.0000,0.003016
2078.0000,0.003478
2082.0000,0.003989
2086.0000,0.004536
2090.0000,0.005033
2094.0000,0.005258
2098.0000,0.005412
2102.0000,0.005515
2106.0000,0.005347
2110.0000,0.004736
2114.0000,0.003849
2118.0000,0.002911
2122.0000,0.002057
2126.0000,0.001418
2130.0000,0.000926
2134.0000,0.000490
2138.0000,0.000368
2142.0000,0.000451
2146.0000,0.000441
2150.0000,0.000360
2154.0000,0.000305
2158.0000,0.000230
2162.0000,0.000274
2166.0000,0.000448
2170.0000,0.000561
2174.0000,0.000620
2178.0000,0.000717
2182.0000,0.000820
2186.0000,0.000870
2190.0000,0.000923
2194.0000,0.000924
2198.0000,0.000863
2202.0000,0.000914
2206.0000,0.000952
2210.0000,0.000953
2214.0000,0.001038
2218.0000,0.001191
2222.0000,0.001549
2226.0000,0.001936
2230.0000,0.002274
2234.0000,0.002643
2238.0000,0.003052
2242.0000,0.003546
2246.0000,0.003926
2250.0000,0.004342
2254.0000,0.004876
2258.0000,0.005479
2262.0000,0.006099
2266.0000,0.006492
2270.0000,0.006812
2274.0000,0.007088
2278.0000,0.007101
2282.0000,0.006854
2286.0000,0.006354
2290.0000,0.005916
2294.0000,0.005597
2298.0000,0.005323
2302.0000,0.005057
2306.0000,0.004928
2310.0000,0.005070
2314.0000,0.005295
2318.0000,0.005558
2322.0000,0.006016
2326.0000,0.006578
2330.0000,0.007246
2334.0000,0.007888
2338.0000,0.008364
2342.0000,0.008684
2346.0000,0.008863
2350.0000,0.008850
2354.0000,0.008612
2358.0000,0.008325
2362.0000,0.008088
2366.0000,0.007743
2370.0000,0.007444
2374.0000,0.007281
2378.0000,0.007192
